
香港,#genre#
华视,https://us.dispatch.ulivetv.net/v/live/cl7c69hc4m2o.m3u8?stream_id=cl7c69hc4m2o&timestamp=1699439382&rand=LSTTwXmnNL&uuid=1qkY9YFToi7aJsi2VNBTER&from=web&sign=1225c8f1f60acecaf41ceca42295d10a
客家电视台,https://us.dispatch.ulivetv.net/v/live/clectmxixadc.m3u8?stream_id=clectmxixadc&timestamp=1699439386&rand=xS8z37sSrz&uuid=vRwJRi4jdkKuoKpwT8DjYj&from=web&sign=cb7cafcc43d2fcb97c259a4bd78c5776
大爱一台,https://us.dispatch.ulivetv.net/v/live/cl7c7r2jpg3k.m3u8?stream_id=cl7c7r2jpg3k&timestamp=1699439402&rand=eiJ8uS4vb2&uuid=t8bMoBpaGh3eT8rSaR9LpC&from=web&sign=f9383905e8a21216636a0679a07cdb19
大爱二台,https://us.dispatch.ulivetv.net/v/live/cl7c83atb64g.m3u8?stream_id=cl7c83atb64g&timestamp=1699439404&rand=RyiVILuCBv&uuid=x8VqPWgMiXvQW8bAZcXDGd&from=web&sign=70d0d23a101c9d4c3d07c73eb6261a73
中天新闻,https://us.dispatch.ulivetv.net/v/live/cg1049vjg14w.m3u8?stream_id=cg1049vjg14w&timestamp=1699439406&rand=GW95H9YcpC&uuid=ejaEc1twA6p5zrnTq9bQEV&from=web&sign=29b1657fe7defe916d4fde4f44b98524
TVBS HD,https://us.dispatch.ulivetv.net/v/live/cl7c4wxioc00.m3u8?stream_id=cl7c4wxioc00&timestamp=1699439408&rand=e37ekdsx2E&uuid=rL1Vwk5cXaJFs9AZkEjpWB&from=web&sign=7ecb3853976992bbfbc0cccc0a8b5d98
TVBS 新闻台,https://us.dispatch.ulivetv.net/v/live/cfxyummruo5c.m3u8?stream_id=cfxyummruo5c&timestamp=1699439410&rand=X2mDb6Njno&uuid=8PMC8rdtV7v4D42JvGH2q5&from=web&sign=c389227db9a528067d9f2779aeb122b7
东森新闻,https://us.dispatch.ulivetv.net/v/live/clecuz9d78ow.m3u8?stream_id=clecuz9d78ow&timestamp=1699439412&rand=uDTxU9T35D&uuid=nCYM5kA9SwG5nZ9Tzi4nyc&from=web&sign=efe05ed090fb07d0ec8b55f8bff86173
东森财经新闻,https://us.dispatch.ulivetv.net/v/live/cl7c5f64zg74.m3u8?stream_id=cl7c5f64zg74&timestamp=1699439414&rand=eQObjRHK6Q&uuid=rGdcRAzsUbPGke1nVXxqfT&from=web&sign=baf81a732c6e58a7bd8de52ff5bd9d47
壹新闻 HD,https://us.dispatch.ulivetv.net/v/live/cfxwzsgnhnls.m3u8?stream_id=cfxwzsgnhnls&timestamp=1699439416&rand=xHVyzOcvK6&uuid=7EwuqamtX7KGw2f8DZmQrR&from=web&sign=2e3c0e82217e2c039f90e82b0224b608
